,Number,Valence,Energy,Tension,Anger,Fear,Happy,Sad,Tender,TARGET,Nro,Emotion,Album name,Track,Min:Sec
0,1,4.83,6.83,3.17,1.0,1.0,7.33,1.0,1.0,HAPPY,1,Happy,Shallow Grave,6,02:02-02:17
1,2,4.83,6.17,3.83,1.0,1.0,7.17,1.17,1.83,HAPPY,2,Happy,The Rainmaker,2,01:54-02:07
2,3,5.6,6.2,3.0,1.0,1.0,7.17,1.0,1.0,HAPPY,3,Happy,The Rainmaker,3,02:55-03:13
3,4,4.67,6.33,3.83,1.0,1.0,7.17,1.0,1.0,HAPPY,4,Happy,Man of Galilee CD1,2,03:02-03:18
4,5,6.5,5.0,3.17,1.17,1.0,7.17,1.0,2.83,HAPPY,5,Happy,Shakespeare in Love,1,01:06-01:22
5,6,5.0,5.4,2.8,1.0,1.0,7.0,1.0,1.0,HAPPY,6,Happy,The Rainmaker,5,03:07-03:23
6,7,5.4,6.2,3.8,1.0,1.0,7.0,1.0,1.5,HAPPY,7,Happy,Man of Galilee CD1,11,00:00-00:18
7,8,5.0,5.2,2.6,1.0,1.0,7.0,1.0,2.0,HAPPY,8,Happy,Nostradamus,1,00:00-00:16
8,9,6.0,6.0,3.6,1.0,1.0,7.0,1.0,1.0,HAPPY,9,Happy,Band of Brothers,3,01:19-01:36
9,10,4.83,6.17,4.33,1.0,1.0,6.5,1.0,1.0,HAPPY,10,Happy,The Untouchables,6,01:50-02:05
10,11,4.83,6.5,4.0,1.17,1.0,6.5,1.0,1.67,HAPPY,11,Happy,Shine,5,02:00-02:16
11,12,5.2,6.8,4.0,1.0,1.0,6.33,1.0,1.0,HAPPY,12,Happy,Shine,13,00:00-00:20
12,13,5.83,5.83,3.17,1.0,1.8,6.2,1.0,1.6,HAPPY,13,Happy,Shallow Grave,3,01:45-02:00
13,14,5.2,6.0,4.6,1.0,1.0,6.17,1.0,2.5,HAPPY,14,Happy,Shine,5,00:36-00:53
14,15,5.83,4.17,2.83,1.0,1.0,6.17,1.0,5.17,HAPPY,15,Happy,Big Fish,21,00:00-00:15
15,16,6.0,3.4,1.6,1.0,1.0,5.67,1.0,7.5,HAPPY,16,Happy,Big Fish,8,00:12-00:34
16,17,5.67,4.5,3.67,1.0,1.0,5.5,1.0,2.33,HAPPY,17,Happy,Shakespeare in Love,17,00:03-00:23
17,18,4.33,6.67,4.67,1.0,1.0,5.5,1.0,1.0,HAPPY,18,Happy,Shine,15,01:00-01:19
18,19,5.0,5.83,4.67,1.83,1.0,5.5,1.0,1.0,HAPPY,19,Happy,Big Fish,13,01:02-01:17
19,20,5.2,4.6,3.8,1.0,1.0,5.17,1.0,2.67,HAPPY,20,Happy,Vertigo OST,6,04:42-04:57
20,21,6.4,4.4,2.6,1.0,1.0,4.83,1.0,3.83,HAPPY,21,Happy,Gladiator,17,00:14-00:27
21,22,5.6,5.0,4.2,1.5,1.0,4.67,1.0,1.0,HAPPY,22,Happy,Shakespeare in Love,21,00:03-00:21
22,23,5.83,2.83,2.33,1.0,1.0,4.67,1.33,5.33,HAPPY,23,Happy,Big Fish,8,00:35-00:55
23,24,5.83,2.33,1.33,1.0,1.0,4.17,2.0,7.17,HAPPY,24,Happy,The Four Feathers,7,05:40-05:55
24,25,4.6,4.6,3.6,1.0,1.0,4.17,1.0,1.83,HAPPY,25,Happy,Big Fish,12,00:55-01:10
25,26,6.0,2.6,1.4,1.0,1.0,3.67,2.5,6.0,HAPPY,26,Happy,The English Patient,7,00:33-00:58
26,27,4.6,4.2,2.2,1.0,1.0,3.0,1.67,4.33,HAPPY,27,Happy,Shallow Grave,8,00:00-00:15
27,28,6.17,3.5,2.83,1.0,1.0,2.8,3.0,6.6,HAPPY,28,Happy,The English Patient,3,00:28-00:45
28,29,5.5,4.0,4.17,1.0,1.0,2.8,3.0,3.4,HAPPY,29,Happy,Vertigo OST,6,02:02-02:17
29,30,4.83,2.33,3.67,1.0,1.0,1.0,4.0,4.4,HAPPY,30,Happy,The English Patient,7,00:00-00:31
30,31,5.0,2.33,2.67,1.17,1.0,1.0,7.67,3.5,SAD,31,Sad,The Four Feathers,10,01:15-01:34
31,32,5.83,2.17,3.0,1.0,1.33,1.17,7.5,2.67,SAD,32,Sad,The English Patient,18,00:07-00:32
32,33,5.67,2.5,2.5,1.0,1.67,1.0,7.5,4.0,SAD,33,Sad,The English Patient,10,00:24-00:52
33,34,5.17,2.17,2.33,1.0,1.0,1.0,7.33,5.67,SAD,34,Sad,Band of Brothers,12,01:09-01:26
34,35,5.5,1.5,1.83,1.0,1.0,1.0,7.17,5.33,SAD,35,Sad,Nostradamus,20,01:35-01:52
35,36,3.67,2.17,4.67,1.0,2.5,1.17,7.0,1.0,SAD,36,Sad,Running Scared,15,02:06-02:27
36,37,4.4,2.0,3.6,1.5,2.83,1.0,7.0,2.0,SAD,37,Sad,Road to Perdition,16,00:17-00:32
37,38,5.17,1.67,2.5,1.0,1.0,1.33,6.5,3.33,SAD,38,Sad,Psycho,3,00:58-01:24
38,39,4.5,2.83,3.5,1.0,1.5,1.17,6.5,1.67,SAD,39,Sad,Big Fish,15,00:55-01:11
39,40,4.0,4.33,4.17,2.2,1.8,1.0,6.2,1.0,SAD,40,Sad,Man of Galilee CD1,8,01:20-01:37
40,41,4.8,2.6,4.0,1.0,1.67,1.0,6.17,4.83,SAD,41,Sad,Big Fish,22,00:00-00:20
41,42,5.8,2.2,1.2,1.0,1.0,1.0,6.0,6.17,SAD,42,Sad,The Untouchables,4,00:40-00:55
42,43,5.0,2.6,3.2,1.0,1.0,1.0,6.0,5.17,SAD,43,Sad,Band of Brothers,15,00:35-00:56
43,44,4.6,2.2,3.2,1.67,1.5,1.0,6.0,2.83,SAD,44,Sad,Gladiator,7,02:15-02:38
44,45,4.8,2.4,1.8,1.0,1.0,1.0,5.83,4.33,SAD,45,Sad,Gladiator,4,00:48-01:06
45,46,4.2,3.6,4.4,1.0,2.17,1.0,5.83,1.83,SAD,46,Sad,Gladiator,14,01:38-02:02
46,47,5.0,3.0,3.6,1.0,1.0,1.67,5.83,5.33,SAD,47,Sad,Big Fish,15,00:02-00:17
47,48,6.0,1.83,1.67,1.0,1.0,1.0,5.67,6.67,SAD,48,Sad,Road to Perdition,13,00:47-01:02
48,49,5.17,2.0,2.33,1.0,1.0,1.5,5.33,4.67,SAD,49,Sad,Running Scared,19,03:11-03:25
49,50,5.8,2.2,1.8,1.0,1.0,1.0,5.33,3.17,SAD,50,Sad,Road to Perdition,22,00:00-00:13
50,51,6.4,3.4,2.0,1.0,1.0,1.0,5.0,5.5,SAD,51,Sad,The Rainmaker,11,00:37-00:57
51,52,5.6,3.4,2.6,1.0,1.0,1.67,5.0,4.83,SAD,52,Sad,Band of Brothers,3,07:43-07:58
52,53,4.4,2.2,2.4,1.0,1.4,1.0,4.6,1.4,SAD,53,Sad,The Missing,2,02:31-02:48
53,54,5.0,2.67,2.83,1.0,1.0,1.83,4.0,4.0,SAD,54,Sad,Shakespeare in Love,3,00:59-01:17
54,55,5.6,2.6,2.2,1.0,1.0,2.0,3.83,4.83,SAD,55,Sad,Shine,18,00:43-01:07
55,56,3.33,2.83,5.5,1.0,3.6,1.0,3.2,1.6,SAD,56,Sad,Mississippi Burning,3,00:25-:40
56,57,5.4,1.8,3.2,1.0,1.67,2.33,3.0,4.83,SAD,57,Sad,Road to Perdition,8,00:38-00:53
57,58,4.67,3.33,3.5,1.0,1.0,3.5,3.0,3.33,SAD,58,Sad,Big Fish,11,01:26-01:40
58,59,5.2,2.6,4.0,1.0,1.5,2.83,2.83,5.5,SAD,59,Sad,Road to Perdition,1,00:35-00:50
59,60,5.67,3.5,2.5,1.0,1.0,5.0,1.0,5.0,SAD,60,Sad,Shine,28,01:24-01:43
60,61,5.8,2.8,2.4,1.0,1.0,5.83,2.0,7.83,TENDER,61,Tender,Big Fish,17,00:00-00:15
61,62,6.83,4.33,2.5,1.0,1.0,2.2,2.8,7.6,TENDER,62,Tender,Shine,10,01:28-01:48
62,63,5.83,2.0,2.0,1.0,1.0,1.6,4.4,7.4,TENDER,63,Tender,Running Scared,2,00:00-00:25
63,64,6.6,2.4,1.2,1.0,1.0,4.17,1.5,7.17,TENDER,64,Tender,Shakespeare in Love,2,00:00-00:15
64,65,6.4,3.2,1.8,1.0,1.0,4.5,2.17,7.17,TENDER,65,Tender,Road to Perdition,26,00:24-00:39
65,66,5.83,2.67,1.83,1.0,1.0,3.8,1.6,6.8,TENDER,66,Tender,The Missing,3,00:24-00:49
66,67,6.5,3.33,1.83,1.0,1.0,5.0,1.83,6.67,TENDER,67,Tender,Band of Brothers,3,06:58-07:18
67,68,6.6,3.2,1.4,1.0,1.0,3.17,1.83,6.67,TENDER,68,Tender,Road to Perdition,13,00:14-00:29
68,69,5.4,3.8,3.0,1.0,1.0,3.0,1.67,6.33,TENDER,69,Tender,The Four Feathers,12,00:50-01:02
69,70,4.67,2.67,3.0,1.0,1.0,3.0,2.17,6.33,TENDER,70,Tender,Naked Lunch,11,00:00-00:19
70,71,6.0,1.6,1.4,1.0,1.0,3.17,2.83,6.33,TENDER,71,Tender,Big Fish,18,00:00-00:13
71,72,5.83,3.5,1.83,1.0,1.0,3.5,1.5,6.17,TENDER,72,Tender,The Rainmaker,4,02:57-03:10
72,73,6.2,3.2,2.8,1.0,1.0,4.33,2.67,6.0,TENDER,73,Tender,Man of Galilee CD1,7,02:28-02:53
73,74,6.5,3.0,1.83,1.0,1.0,4.83,1.83,5.83,TENDER,74,Tender,The Untouchables,9,00:04-00:23
74,75,6.0,3.0,1.83,1.0,1.0,4.17,2.0,5.83,TENDER,75,Tender,Nostradamus,14,00:54-01:17
75,76,6.4,2.6,2.4,1.0,1.0,2.0,4.67,5.5,TENDER,76,Tender,The Rainmaker,8,02:13-02:33
76,77,6.5,4.33,2.5,1.0,1.0,3.8,1.0,5.4,TENDER,77,Tender,Man of Galilee CD1,3,00:55-01:32
77,78,6.0,3.0,2.6,1.0,1.0,2.17,3.83,5.33,TENDER,78,Tender,Man of Galilee CD1,4,00:00-00:22
78,79,6.0,2.0,1.6,1.0,1.0,4.17,1.0,5.33,TENDER,79,Tender,Nostradamus,2,01:09-01:28
79,80,5.5,3.5,2.17,1.0,1.0,1.0,3.5,5.17,TENDER,80,Tender,Nostradamus,7,00:37-00:52
80,81,6.5,2.67,1.83,1.0,1.0,1.0,5.67,5.17,TENDER,81,Tender,Road to Perdition,26,00:59-01:14
81,82,6.5,2.83,1.83,1.0,1.0,2.33,2.67,5.17,TENDER,82,Tender,Road to Perdition,26,02:47-03:02
82,83,6.0,4.33,2.5,1.0,1.0,5.17,1.83,4.83,TENDER,83,Tender,Big Fish,17,01:24-01:39
83,84,5.17,1.83,2.67,1.0,1.0,1.0,6.6,4.8,TENDER,84,Tender,Big Fish,14,00:14-00:30
84,85,5.83,2.33,1.67,1.0,1.0,1.0,7.17,4.67,TENDER,85,Tender,Gladiator,4,01:58-02:14
85,86,5.8,3.4,2.4,1.0,1.0,3.33,1.33,4.67,TENDER,86,Tender,Shine,15,00:45-01:00
86,87,4.8,2.2,3.4,1.0,1.83,1.0,5.5,4.17,TENDER,87,Tender,The English Patient,2,01:03-01:2
87,88,5.8,2.2,1.6,1.0,1.33,3.33,2.17,4.17,TENDER,88,Tender,Big Fish,12,00:03-00:20
88,89,4.83,1.83,2.17,1.0,1.67,1.17,2.83,3.67,TENDER,89,Tender,Naked Lunch,6,00:00-00:16
89,90,5.17,3.0,3.0,1.0,1.0,4.67,2.17,2.5,TENDER,90,Tender,Road to Perdition,9,01:34-01:48
90,91,1.17,4.5,6.5,5.17,7.5,1.0,1.0,1.0,FEAR,91,Fear,Running Scared,4,02:49-03:05
91,92,2.33,5.67,6.0,4.33,7.0,1.0,1.0,1.0,FEAR,92,Fear,Psycho,1,00:00-00:22
92,93,2.33,3.33,5.83,2.0,6.8,1.0,1.6,1.0,FEAR,93,Fear,Nostradamus,1,01:28-01:45
93,94,1.0,5.2,6.6,2.5,6.67,1.0,1.0,1.0,FEAR,94,Fear,The Untouchables,10,00:54-01:10
94,95,2.4,5.4,6.0,4.5,6.67,1.0,1.0,1.0,FEAR,95,Fear,Running Scared,8,00:20-00:35
95,96,2.83,4.67,5.5,2.5,6.67,1.0,1.0,1.0,FEAR,96,Fear,Cape Fear,5,01:30-01:48
96,97,2.8,6.0,6.0,2.5,6.33,1.17,1.0,1.0,FEAR,97,Fear,Mississippi Burning,8,00:45-01:00
97,98,1.6,4.0,5.4,4.0,6.17,1.0,1.0,1.0,FEAR,98,Fear,Road to Perdition,6,00:34-00:49
98,99,3.0,4.6,5.8,2.17,6.17,1.0,3.5,1.0,FEAR,99,Fear,Dracula,5,02:12-02:28
99,100,2.5,5.5,6.17,2.67,6.0,1.0,1.83,1.0,FEAR,100,Fear,Psycho,10,00:47-01:08
100,101,2.5,3.67,6.17,2.0,6.0,1.0,1.0,1.0,FEAR,101,Fear,Shallow Grave,7,00:00-00:15
101,102,2.83,4.83,6.0,2.83,6.0,1.0,3.33,1.0,FEAR,102,Fear,Gladiator,7,03:00-03:17
102,103,2.4,6.0,6.2,3.67,5.83,1.0,1.0,1.0,FEAR,103,Fear,The Untouchables,5,02:05-02:20
103,104,3.0,5.0,6.6,4.0,5.83,1.0,1.33,1.0,FEAR,104,Fear,The Alien Trilogy,11,02:12-02:27
104,105,1.17,4.67,6.33,5.0,5.8,1.0,1.0,1.0,FEAR,105,Fear,Road to Perdition,12,00:20-00:35
105,106,2.4,2.8,6.2,2.0,5.5,1.0,1.33,1.0,FEAR,106,Fear,Road to Perdition,17,00:02-00:17
106,107,2.33,2.83,5.83,1.5,5.5,1.0,2.33,1.0,FEAR,107,Fear,Dracula,2,00:24-00:41
107,108,1.5,4.83,6.17,7.0,5.33,1.17,1.0,1.0,FEAR,108,Fear,Cape Fear,5,01:05-01:20
108,109,2.2,3.6,4.8,5.33,5.17,1.0,1.0,1.0,FEAR,109,Fear,Mississippi Burning,2,00:55-01:10
109,110,3.17,6.33,5.83,7.0,4.83,1.0,1.0,1.0,FEAR,110,Fear,Gladiator,9,02:15-02:36
110,111,2.0,5.2,6.6,6.5,4.83,1.0,1.0,1.0,FEAR,111,Fear,Cape Fear,1,00:26-00:35
111,112,3.0,3.0,5.2,1.5,4.67,1.0,3.5,1.0,FEAR,112,Fear,Psycho,9,00:35-00:55
112,113,2.5,5.5,5.83,3.67,4.17,1.0,1.0,1.0,FEAR,113,Fear,The Untouchables,8,01:38-01:53
113,114,3.6,4.0,4.8,3.8,4.0,1.0,1.0,1.0,FEAR,114,Fear,Man of Galilee CD1,6,00:40-01:07
114,115,3.4,3.8,5.6,1.0,4.0,1.33,4.83,1.0,FEAR,115,Fear,The Missing,3,02:45-03:06
115,116,3.6,3.8,6.0,5.17,4.0,1.0,1.0,1.0,FEAR,116,Fear,Gladiator,9,00:35-00:51
116,117,2.5,4.0,5.5,2.6,3.8,1.0,4.4,1.0,FEAR,117,Fear,Shakespeare in Love,11,00:21-00:36
117,118,3.6,2.0,5.0,1.0,3.0,1.0,6.17,1.5,FEAR,118,Fear,Band of Brothers,4,00:24-00:44
118,119,3.33,2.5,4.83,1.0,2.4,1.0,4.0,1.0,FEAR,119,Fear,Band of Brothers,15,02:14-02:27
119,120,4.6,2.6,3.8,1.33,2.0,1.0,4.83,1.5,FEAR,120,Fear,Nostradamus,15,02:48-03:05
120,121,2.5,5.17,5.67,7.83,6.0,1.0,1.0,1.0,ANGER,121,Anger,Cape Fear,13,01:02-01:20
121,122,4.0,5.5,6.0,7.8,3.2,1.0,3.6,1.0,ANGER,122,Anger,Gladiator,13,01:18-01:26
122,123,2.4,6.4,6.6,7.67,4.83,1.0,1.33,1.0,ANGER,123,Anger,Gladiator,3,04:55-05:17
